District,Year,Season,Area,Production,Yield,T2M,T2M_MAX,T2M_MIN,RH2M,Rainfall,Solar_Radiation,N,P,K,pH
Ariyalur,2010,Kharif,25211,97869,3.88,29.06606557,34.01729508,25.11778689,68.63778689,407.26,2298.51,147.5,48.5,187.9,7.1
Ariyalur,2011,Kharif,24097,97257,4.04,29.99344262,35.52508197,25.52819672,61.2542623,292.31,2502.2,147.5,48.5,187.9,7.1
Ariyalur,2012,Kharif,17523,36392,2.08,29.96377049,35.19942623,25.6492623,62.54180328,296.2,2485.02,147.5,48.5,187.9,7.1
Ariyalur,2013,Kharif,24437,131658,5.39,29.61721311,34.79172131,25.47991803,63.85655738,329.38,2324.3,147.5,48.5,187.9,7.1
Ariyalur,2014,Kharif,23108,116239,5.03,30.26385246,35.61688525,25.99983607,62.18295082,227.48,2487.3,147.5,48.5,187.9,7.1
Ariyalur,2015,Kharif,24408,124179,5.09,26.76508197,30.34704918,24.10032787,83.81327869,698.45,939.4,147.5,48.5,187.9,7.1
Ariyalur,2016,Kharif,15398,44524,2.89,29.81008197,35.15754098,25.43836066,64.74385246,270.84,2392.65,147.5,48.5,187.9,7.1
Ariyalur,2017,Autumn,2556,9851,3.85,26.89147541,30.39819672,24.15016393,83.48491803,471.22,901.53,140,38,165,7.5
Ariyalur,2017,Summer,480,2145,4.47,30.91663043,37.19630435,26.09184783,62.48206522,86.88,2068.33,140,38,165,7.5
Ariyalur,2017,Winter,19628,87227,4.44,25.01066667,30.64266667,20.77366667,74.55033333,176.71,1643,140,38,165,7.5
Ariyalur,2018,Autumn,2957,12673,4.29,26.44262295,30.25803279,23.53901639,83.2357377,441.29,941.03,140,38,165,7.5
Ariyalur,2018,Summer,732,3064,4.19,30.05423913,35.88793478,25.56032609,66.0776087,96.23,2030.13,140,38,165,7.5
Ariyalur,2018,Winter,19103,73718,3.86,24.39722222,29.59566667,20.49311111,80.79677778,73.81,1639.9,140,38,165,7.5
Ariyalur,2019,Autumn,2448,8348,3.41,26.55836066,29.65327869,24.2104918,86.76721311,474.48,984.43,140,38,165,7.5
Ariyalur,2019,Summer,397,1709,4.3,31.58413043,38.46413043,26.39282609,59.19021739,27.77,2186.08,140,38,165,7.5
Ariyalur,2019,Winter,20379,79599,3.91,25.44188889,30.74955556,21.52944444,77.48211111,138.38,1615.4,140,38,165,7.5
Ariyalur,2020,Autumn,3427,15915,4.64,27.00327869,31.00081967,23.88131148,81.37442623,342.2,987.49,138,13,172,7.4
Ariyalur,2020,Summer,287,1183,4.12,31.11565217,37.56793478,26.25673913,60.78956522,49.59,2095.54,138,13,172,7.4
Ariyalur,2020,Winter,20297,57225,2.82,25.11230769,29.74461538,21.65120879,80.7789011,384.66,1586.36,138,13,172,7.4
Ariyalur,2021,Autumn,3933,14244,3.62,26.35672131,29.00147541,24.2895082,88.79180328,854.31,822.66,138,13,172,7.4
Ariyalur,2021,Summer,1001,3997,3.99,29.56152174,35.30576087,25.13576087,68.48358696,97.2,2104.21,138,13,172,7.4
Ariyalur,2021,Winter,21226,90008,4.24,24.25744444,28.29355556,21.13244444,86.18155556,270.71,1544.17,138,13,172,7.4
Ariyalur,2022,Autumn,3819,13895,3.64,26.23868852,29.95688525,23.34819672,83.68180328,363.55,908.69,138,13,172,7.4
Ariyalur,2022,Summer,682,2710,3.97,29.91108696,35.75130435,25.37847826,67.2201087,164.45,1962.56,138,13,172,7.4
Ariyalur,2022,Winter,21680,87607,4.04,24.80577778,29.19411111,21.58877778,83.91,231.69,1518.02,138,13,172,7.4
Chengalpattu,2020,Autumn,7299,36868,5.05,27.1595082,29.62114754,25.03737705,82.35540984,582.87,959.35,242,7,136,7.89
Chengalpattu,2020,Summer,26873,95961,3.57,29.9376087,34.27043478,26.75054348,68.5126087,122.58,2132.09,242,7,136,7.89
Chengalpattu,2020,Winter,18947,70861,3.74,25.42747253,28.53868132,23.11131868,76.85230769,299.65,1600.97,242,7,136,7.89
Chengalpattu,2021,Autumn,10117,40919,4.04,27.01196721,28.73770492,25.5952459,86.59754098,997.8,789.98,242,7,136,7.89
Chengalpattu,2021,Summer,29705,132511,4.46,29.16065217,33.2626087,26.13434783,71.99065217,89.87,2133.4,242,7,136,7.89
Chengalpattu,2021,Winter,15181,61364,4.04,24.91255556,27.83766667,22.59966667,79.70933333,261.92,1558.34,242,7,136,7.89
Chengalpattu,2022,Autumn,11342,49170,4.34,26.59442623,29.0152459,24.70836066,82.1157377,483.34,889.97,242,7,136,7.89
Chengalpattu,2022,Summer,31265,132103,4.23,29.37293478,33.55,26.24108696,71.93163043,116.86,1991.48,242,7,136,7.89
Chengalpattu,2022,Winter,14719,60162,4.09,25.20933333,28.16588889,22.95122222,80.22388889,203.74,1516.17,242,7,136,7.89
Chennai,2018,Autumn,85,0,0,26.95540984,30.42147541,24.38491803,78.15032787,353.41,1016.51,175,75,164,7
Chennai,2022,Autumn,11,46,4.18,26.27967213,29.04983607,24.16377049,82.74491803,509,893.55,175,75,164,7
Chennai,2022,Summer,13,54,4.15,29.72706522,34.96326087,25.80847826,68.3648913,79.77,1970.71,175,75,164,7
Chennai,2022,Winter,97,256,2.64,24.86511111,28.42166667,22.18555556,80.44555556,241.1,1544.12,175,75,164,7
Coimbatore,2010,Kharif,2666,10419,3.91,23.75081967,27.80065574,20.95344262,85.6757377,636.08,1900.48,179.48,14.95,609.46,7.4
Coimbatore,2011,Kharif,2629,10486,3.99,23.62483607,27.87836066,20.72352459,84.64803279,561.9,1874.75,179.48,14.95,609.46,7.4
Coimbatore,2012,Kharif,2156,7890,3.66,24.29352459,29.20532787,21.07065574,81.18819672,371.29,2038.6,179.48,14.95,609.46,7.4
Coimbatore,2013,Kharif,2158,10139,4.7,23.49868852,27.3802459,20.89598361,85.84885246,648.54,1808.88,179.48,14.95,609.46,7.4
Coimbatore,2014,Kharif,2166,9969,4.6,24.07745902,27.98434426,21.38606557,85.44918033,643.88,2027.26,179.48,14.95,609.46,7.4
Coimbatore,2015,Kharif,2034,7942,3.9,24.94811475,29.98672131,21.51090164,80.17860656,348.36,2167.96,179.48,14.95,609.46,7.4
Coimbatore,2016,Kharif,872,3518,4.03,24.29991803,29.1004918,21.045,81.88508197,401.84,2001.65,179.48,14.95,609.46,7.4
Coimbatore,2017,Autumn,11,42,3.82,23.42459016,27.51786885,20.25278689,86.68245902,214.86,953.94,147,10,463,6.9
Coimbatore,2017,Winter,669,2284,3.41,23.30422222,30.81488889,17.18,63.08511111,70.49,1792.31,147,10,463,6.9
Coimbatore,2018,Autumn,475,2036,4.29,23.59163934,28.32360656,19.81163934,82.32114754,263.37,1087.38,147,10,463,6.9
Coimbatore,2018,Summer,177,742,4.19,27.04684783,33.34315217,22.09913043,66.30641304,284.92,1930.9,147,10,463,6.9
Coimbatore,2018,Winter,947,3097,3.27,23.29244444,30.59555556,17.62911111,67.981,28.8,1726.53,147,10,463,6.9
Coimbatore,2019,Autumn,11,48,4.36,23.43901639,27.12278689,20.54918033,88.9895082,396.74,1000,147,10,463,6.9
Coimbatore,2019,Summer,117,504,4.31,28.90934783,36.3373913,23.07336957,58.05880435,149.44,2099.79,147,10,463,6.9
Coimbatore,2019,Winter,733,2667,3.64,23.72833333,30.88488889,18.06255556,67.15322222,65.33,1749.72,147,10,463,6.9
Coimbatore,2020,Autumn,11,49,4.45,23.44918033,27.75409836,20.12836066,85.88590164,327.39,1023.44,165,24.2,432,7.7
Coimbatore,2020,Summer,303,1250,4.13,28.45782609,35.26923913,23.08902174,60.36543478,119.89,1992.85,165,24.2,432,7.7
Coimbatore,2020,Winter,685,2000,2.92,23.31010989,29.97,18.08593407,73.17615385,78.76,1759.43,165,24.2,432,7.7
Coimbatore,2021,Autumn,468,1914,4.09,23.32196721,26.61688525,20.82459016,89.95508197,530.37,810.01,165,24.2,432,7.7
Coimbatore,2021,Summer,277,1108,4,26.44336957,32.80543478,21.46804348,69.11869565,281.09,1922.24,165,24.2,432,7.7
Coimbatore,2021,Winter,563,1865,3.31,22.11266667,27.90677778,17.63011111,80.74966667,175.18,1642.77,165,24.2,432,7.7
Coimbatore,2022,Autumn,393,1514,3.85,23.03081967,27.28245902,19.70311475,85.78,286.55,936.78,165,24.2,432,7.7
Coimbatore,2022,Summer,220,873,3.97,26.66804348,33.24565217,21.69195652,69.67565217,313.1,1766.04,165,24.2,432,7.7
Coimbatore,2022,Winter,556,2219,3.99,22.82844444,28.84511111,18.16755556,77.58711111,122.52,1661.28,165,24.2,432,7.7
Cuddalore,2010,Kharif,115815,301506,2.6,29.01237705,31.63442623,26.77336066,74.99590164,489.28,2298.51,102.1,33.67,117.5,7.7
Cuddalore,2011,Kharif,120983,248242,2.05,29.54836066,32.46852459,27.04442623,70.36491803,369.76,2502.2,102.1,33.67,117.5,7.7
Cuddalore,2012,Kharif,111958,339286,3.03,29.41622951,32.23114754,27.0252459,71.15319672,305.49,2485.02,102.1,33.67,117.5,7.7
Cuddalore,2013,Kharif,127485,565960,4.44,29.01237705,31.80237705,26.59901639,73.425,478.7,2324.3,102.1,33.67,117.5,7.7
Cuddalore,2014,Kharif,134677,641958,4.77,29.60754098,32.43983607,27.21745902,71.66983607,354.65,2487.3,102.1,33.67,117.5,7.7
Cuddalore,2015,Kharif,139987,507130,3.62,29.67139344,32.55368852,27.27196721,72.54647541,339.48,2552.46,102.1,33.67,117.5,7.7
Cuddalore,2016,Kharif,131906,459908,3.49,29.22262295,31.9754918,26.88811475,73.8047541,378.4,2392.65,102.1,33.67,117.5,7.7
Cuddalore,2017,Autumn,31883,124535,3.91,27.49147541,28.99114754,26.22622951,83.37245902,535.88,901.53,181,29.125,72.8,5.9
Cuddalore,2017,Summer,7412,33413,4.51,29.76119565,32.87532609,27.33456522,72.24032609,70.27,2068.33,181,29.125,72.8,5.9
